iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.13, port 5002
      Cookie: host115.1472986800.755252.238cf94a18
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 46431 connected to 192.168.110.13 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 268435456000 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5] 106.50-107.00 sec   132 MBytes  2211 Mbits/sec    0   2.05 MBytes       
[  5] 107.00-107.50 sec   125 MBytes  2094 Mbits/sec    0   2.05 MBytes       
[  5] 107.50-108.00 sec   122 MBytes  2041 Mbits/sec    0   2.05 MBytes       
[  5] 108.00-108.50 sec   126 MBytes  2114 Mbits/sec    0   2.05 MBytes       
[  5] 108.50-109.00 sec   129 MBytes  2158 Mbits/sec    0   2.05 MBytes       
[  5] 109.00-109.50 sec   125 MBytes  2096 Mbits/sec    0   2.05 MBytes       
[  5] 109.50-110.00 sec   122 MBytes  2048 Mbits/sec    0   2.06 MBytes       
[  5] 110.00-110.50 sec   125 MBytes  2096 Mbits/sec    0   2.07 MBytes       
[  5] 110.50-111.00 sec   127 MBytes  2127 Mbits/sec    0   2.08 MBytes       
[  5] 111.00-111.50 sec   128 MBytes  2152 Mbits/sec    0   2.09 MBytes       
[  5] 111.50-112.00 sec   128 MBytes  2147 Mbits/sec    0   2.11 MBytes       
[  5] 112.00-112.50 sec   132 MBytes  2207 Mbits/sec    0   2.13 MBytes       
[  5] 112.50-113.00 sec   132 MBytes  2217 Mbits/sec    0   2.15 MBytes       
[  5] 113.00-113.50 sec   134 MBytes  2242 Mbits/sec    0   2.19 MBytes       
[  5] 113.50-114.00 sec   154 MBytes  2576 Mbits/sec  164   1.59 MBytes       
[  5] 114.00-114.50 sec   157 MBytes  2640 Mbits/sec   10   1.17 MBytes       
[  5] 114.50-115.00 sec   126 MBytes  2116 Mbits/sec    0   1.22 MBytes       
